season_player_id,season_code,player_id,player,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game
U2024_P013375_ARI,U2024,P013375,"ALKINS, RAWLE",ARI,1.0,0.0,10.8,4,2,4,0,0,0,0,1,1,2,1,1,0,0,2,3,0,1,4,10.83,4.0,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0
U2018_P008963_BRE,U2018,P008963,"ALLEN, BRYON",BRE,10.0,7.0,265.2,147,33,61,20,63,21,30,6,12,18,23,5,25,1,8,22,27,86,-33,26.51,14.7,3.3,6.1,0.541,2.0,6.3,0.317,2.1,3.0,0.7,0.6,1.2,1.8,2.3,0.5,2.5,0.1,0.8,2.2,2.7,8.6,-3.3
U2007_P000345_FRA,U2007,P000345,"ALLEN, DERRICK",FRA,10.0,10.0,374.4,199,75,139,2,7,43,59,28,51,79,20,3,37,5,9,29,57,203,-94,37.44,19.9,7.5,13.9,0.54,0.2,0.7,0.286,4.3,5.9,0.729,2.8,5.1,7.9,2.0,0.3,3.7,0.5,0.9,2.9,5.7,20.3,-9.4
U2010_P000345_BER,U2010,P000345,"ALLEN, DERRICK",BER,11.0,6.0,260.4,143,57,99,0,1,29,36,16,23,39,5,9,23,2,8,35,33,115,-20,23.68,13.0,5.18,9.0,0.576,0.0,0.09,0.0,2.64,3.27,0.806,1.45,2.09,3.55,0.45,0.82,2.09,0.18,0.73,3.18,3.0,10.45,-1.82
U2011_P000345_BER,U2011,P000345,"ALLEN, DERRICK",BER,12.0,12.0,316.0,120,43,91,0,0,34,48,22,28,50,5,11,11,1,6,27,35,116,-19,26.33,10.0,3.58,7.58,0.473,0.0,0.0,0.0,2.83,4.0,0.708,1.83,2.33,4.17,0.42,0.92,0.92,0.08,0.5,2.25,2.92,9.67,-1.58
U2012_P000345_CHA,U2012,P000345,"ALLEN, DERRICK",CHA,5.0,4.0,145.7,62,26,52,0,0,10,13,14,13,27,3,3,10,0,2,16,18,56,-58,29.14,12.4,5.2,10.4,0.5,0.0,0.0,0.0,2.0,2.6,0.769,2.8,2.6,5.4,0.6,0.6,2.0,0.0,0.4,3.2,3.6,11.2,-11.6
U2020_P010447_BOU,U2020,P010447,"ALLEN, KADEEM",BOU,9.0,3.0,172.7,86,25,47,7,17,15,20,4,11,15,24,11,14,2,2,18,25,92,35,19.19,9.56,2.78,5.22,0.532,0.78,1.89,0.412,1.67,2.22,0.75,0.44,1.22,1.67,2.67,1.22,1.56,0.22,0.22,2.0,2.78,10.22,3.89
U2022_P010166_JOV,U2022,P010166,"ALLEN, MIGUEL",JOV,4.0,3.0,33.0,8,4,7,0,2,0,0,3,3,6,3,1,0,0,1,6,1,7,-11,8.25,2.0,1.0,1.75,0.571,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.75,1.5,0.75,0.25,0.0,0.0,0.25,1.5,0.25,1.75,-2.75
U2023_P010166_JOV,U2023,P010166,"ALLEN, MIGUEL",JOV,6.0,3.0,66.7,19,9,16,0,0,1,2,7,8,15,2,1,2,2,0,12,5,22,11,11.11,3.17,1.5,2.67,0.562,0.0,0.0,0.0,0.17,0.33,0.5,1.17,1.33,2.5,0.33,0.17,0.33,0.33,0.0,2.0,0.83,3.67,1.83
U2007_P000700_GUI,U2007,P000700,"ALLEN, STEVE",GUI,1.0,0.0,12.5,2,1,4,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0,-8,12.48,2.0,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-8.0
U2024_P013504_TSO,U2024,P013504,"ALLEYNE, NAHIEM",TSO,10.0,7.0,290.0,72,12,30,15,39,3,3,1,25,26,13,4,16,0,0,17,12,52,-62,29.0,7.2,1.2,3.0,0.4,1.5,3.9,0.385,0.3,0.3,1.0,0.1,2.5,2.6,1.3,0.4,1.6,0.0,0.0,1.7,1.2,5.2,-6.2
U2022_P011924_PRS,U2022,P011924,"ALLMAN, KYLE",PRS,10.0,10.0,307.2,187,32,69,25,74,48,65,4,30,34,44,11,39,4,8,18,59,171,31,30.72,18.7,3.2,6.9,0.464,2.5,7.4,0.338,4.8,6.5,0.738,0.4,3.0,3.4,4.4,1.1,3.9,0.4,0.8,1.8,5.9,17.1,3.1
U2023_P011924_BES,U2023,P011924,"ALLMAN, KYLE",BES,13.0,1.0,248.7,105,24,65,6,38,39,54,3,9,12,29,5,23,4,7,31,42,48,-102,19.13,8.08,1.85,5.0,0.369,0.46,2.92,0.158,3.0,4.15,0.722,0.23,0.69,0.92,2.23,0.38,1.77,0.31,0.54,2.38,3.23,3.69,-7.85
U2024_P011924_BES,U2024,P011924,"ALLMAN, KYLE",BES,19.0,15.0,436.3,202,46,93,14,41,68,97,10,42,52,64,13,43,6,8,49,87,221,-40,22.96,10.63,2.42,4.89,0.495,0.74,2.16,0.341,3.58,5.11,0.701,0.53,2.21,2.74,3.37,0.68,2.26,0.32,0.42,2.58,4.58,11.63,-2.11
U2025_P011924_TTK,U2025,P011924,"ALLMAN, KYLE",TTK,2.0,2.0,37.2,21,4,9,2,4,7,11,0,2,2,2,1,3,2,0,3,11,22,-21,18.58,10.5,2.0,4.5,0.444,1.0,2.0,0.5,3.5,5.5,0.636,0.0,1.0,1.0,1.0,0.5,1.5,1.0,0.0,1.5,5.5,11.0,-10.5
U2024_P010623_CAN,U2024,P010623,"ALOCEN, CARLOS",CAN,16.0,2.0,261.3,88,25,41,8,36,14,15,2,32,34,49,13,29,1,1,22,24,112,-28,16.33,5.5,1.56,2.56,0.61,0.5,2.25,0.222,0.88,0.94,0.933,0.12,2.0,2.12,3.06,0.81,1.81,0.06,0.06,1.38,1.5,7.0,-1.75
U2015_P006205_BES,U2015,P006205,"AL, OMER UTKU",BES,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U2021_P006205_BBU,U2021,P006205,"AL, OMER UTKU",BBU,19.0,0.0,186.6,59,6,15,10,31,17,19,0,7,7,15,5,10,0,0,26,21,39,-7,9.82,3.11,0.32,0.79,0.4,0.53,1.63,0.323,0.89,1.0,0.895,0.0,0.37,0.37,0.79,0.26,0.53,0.0,0.0,1.37,1.11,2.05,-0.37
U2022_P006205_BBU,U2022,P006205,"AL, OMER UTKU",BBU,19.0,0.0,215.4,62,12,20,8,29,14,16,4,11,15,29,4,14,1,0,37,26,55,-71,11.34,3.26,0.63,1.05,0.6,0.42,1.53,0.276,0.74,0.84,0.875,0.21,0.58,0.79,1.53,0.21,0.74,0.05,0.0,1.95,1.37,2.89,-3.74
U2020_P004483_MAL,U2020,P004483,"ALONSO, FRANCIS",MAL,16.0,14.0,356.9,185,21,39,38,86,29,32,9,15,24,17,7,15,0,2,33,41,155,53,22.31,11.56,1.31,2.44,0.538,2.38,5.38,0.442,1.81,2.0,0.906,0.56,0.94,1.5,1.06,0.44,0.94,0.0,0.12,2.06,2.56,9.69,3.31
U2014_PBST_KSK,U2014,PBST,"ALTAY, CEYHUN",KSK,7.0,1.0,91.7,16,5,8,1,8,3,4,1,11,12,3,3,4,0,0,8,7,18,-9,13.1,2.29,0.71,1.14,0.625,0.14,1.14,0.125,0.43,0.57,0.75,0.14,1.57,1.71,0.43,0.43,0.57,0.0,0.0,1.14,1.0,2.57,-1.29
