season_player_id,season_code,player_id,player_last_name,player_first_name,team_id,games_played,games_started,minutes,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,minutes_per_game,points_per_game,two_points_made_per_game,two_points_attempted_per_game,two_points_percentage,three_points_made_per_game,three_points_attempted_per_game,three_points_percentage,free_throws_made_per_game,free_throws_attempted_per_game,free_throws_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,turnovers_per_game,blocks_favour_per_game,blocks_against_per_game,fouls_committed_per_game,fouls_received_per_game,valuation_per_game,plus_minus_per_game,
E2025_P007182_ULK,E2025,P007182,BIRCH,KHEM,ULK,3,2,37.7,5,1,3,0,0,3,4,1,8,9,3,0,3,0,0,8,2,5,-4,12.57,1.67,0.33,1,0.333,0,0,0,1,1.33,0.75,0.33,2.67,3,1,0,1,0,0,2.67,0.67,1.67,-1.33,
E2025_P003091_ULK,E2025,P003091,BIRSEN,METECAN,ULK,2,0,12.4,5,1,1,0,0,3,3,0,1,1,0,0,1,0,0,1,2,6,3,6.21,2.5,0.5,0.5,1,0,0,0,1.5,1.5,1,0,0.5,0.5,0,0,0.5,0,0,0.5,1,3,1.5,
E2025_P005504_ZAL,E2025,P005504,BIRUTIS,LAURYNAS,ZAL,3,3,42.8,30,14,18,0,0,2,5,6,6,12,0,1,1,2,0,3,7,41,32,14.28,10,4.67,6,0.778,0,0,0,0.67,1.67,0.4,2,2,4,0,0.33,0.33,0.67,0,1,2.33,13.67,10.67,
E2025_P007929_ULK,E2025,P007929,BITIM,ONURALP,ULK,3,0,28.1,6,3,4,0,2,0,0,0,1,1,2,0,1,0,0,10,0,-5,9,9.38,2,1,1.33,0.75,0,0.67,0,0,0,0,0,0.33,0.33,0.67,0,0.33,0,0,3.33,0,-1.67,3,
E2025_P013402_HTA,E2025,P013402,BLAKENEY,ANTONIO,HTA,3,0,59.9,53,4,11,8,12,21,25,0,2,2,2,0,2,2,1,2,9,48,-3,19.96,17.67,1.33,3.67,0.364,2.67,4,0.667,7,8.33,0.84,0,0.67,0.67,0.67,0,0.67,0.67,0.33,0.67,3,16,-1,
E2025_P011193_TEL,E2025,P011193,BLATT,TAMIR,TEL,3,2,60.4,24,3,7,6,10,0,0,0,6,6,19,3,10,0,0,2,2,34,-15,20.12,8,1,2.33,0.429,2,3.33,0.6,0,0,0,0,2,2,6.33,1,3.33,0,0,0.67,0.67,11.33,-5,
E2025_P011231_MCO,E2025,P011231,BLOSSOMGAME,JARON,MCO,3,0,56.5,18,7,12,0,2,4,8,3,10,13,1,0,0,0,1,8,6,18,4,18.82,6,2.33,4,0.583,0,0.67,0,1.33,2.67,0.5,1,3.33,4.33,0.33,0,0,0,0.33,2.67,2,6,1.33,
E2025_P008985_MIL,E2025,P008985,BOLMARO,LEANDRO,MIL,3,3,63.4,25,4,14,4,5,5,6,3,8,11,5,1,2,0,2,9,4,21,-9,21.12,8.33,1.33,4.67,0.286,1.33,1.67,0.8,1.67,2,0.833,1,2.67,3.67,1.67,0.33,0.67,0,0.67,3,1.33,7,-3,
E2025_P006760_PAR,E2025,P006760,BONGA,ISAAC,PAR,3,2,90,35,10,13,1,4,12,14,7,14,21,3,2,3,0,0,5,11,56,-5,30.01,11.67,3.33,4.33,0.769,0.33,1.33,0.25,4,4.67,0.857,2.33,4.67,7,1,0.67,1,0,0,1.67,3.67,18.67,-1.67,
E2025_P007056_MIL,E2025,P007056,BOOKER,DEVIN,MIL,3,1,59.2,19,6,14,1,2,4,5,8,7,15,5,0,1,0,0,4,9,33,-6,19.72,6.33,2,4.67,0.429,0.33,0.67,0.5,1.33,1.67,0.8,2.67,2.33,5,1.67,0,0.33,0,0,1.33,3,11,-2,
