player_first_name,player_last_name,team_id,FinalWeighted_JEI
DANIEL,HACKETT,MIL,131.24
THEODOROS,PAPALOUKAS,OLY,131.07
DANTE LIMAN,EXUM,PAR,131.06
ARTSIOM,PARAKHOUSKI,NOV,130.97
ANDRES,NOCIONI,BAS,130.84
TRAJAN,LANGDON,CSK,130.79
ANDREW,GOUDELOCK,ULK,130.71
ALEXEY,SHVED,CSK,130.69
LORENZO,BROWN,RED,130.62
ROKAS,JOKUBAITIS,TEL,130.48
CORY,HIGGINS,CSK,130.26
WILLIE,SOLOMON,ULK,130.24
DEVIN,BOOKER,MUN,130.18
JOHNATHAN,MOTLEY,ULK,130.14
MAODO,LO,BER,129.92
PIERRE,JACKSON,TEL,129.89
JABARI,PARKER,BAR,129.65
WILL,THOMAS,DYR,129.57
MIRSAD,TURKCAN,ULK,129.31
KYLE,HINES,OLY,129.2
ANTE,ZIZIC,TEL,129.06
NEMANJA,NEDOVIC,MAL,128.96
JORDAN,FARMAR,IST,128.78
VASSILIS,SPANOULIS,PAN,128.71
BRYANT,DUNSTON,OLY,128.7
ANTE,TOMIC,BAR,128.57
ACHILLE,POLONARA,BAS,128.49
NIKOLA,MILUTINOV,CSK,128.44
DEVIN,SMITH,TEL,128.35
PEYTON,SIVA,BER,128.31
JOHANNES,VOIGTMANN,BAS,127.94
MATTHEW,LOJESKI,OLY,127.94
JUSTIN,DENTMON,ZAL,127.91
ELIJAH,BRYANT,IST,127.89
BRANDON,DAVIES,BAR,127.84
AUGUSTINE,RUBIT,MUN,127.73
JERIAN,GRANT,PAN,127.67
KRUNOSLAV,SIMON,IST,127.62
DERRICK,BROWN,IST,127.53
BRIAN,RANDLE,TEL,127.25
MARIO,HEZONJA,UNK,127.18
NIKOLA,KALINIC,RED,127.05
ANTHONY,RANDOLPH,TIV,127
ISAIA,CORDINIER,VIR,126.77
MATEUSZ,PONITKA,DYR,126.76
LUCA,VILDOZA,RED,126.68
VINCENT,POIRIER,IST,126.6
