player_first_name,player_last_name,team_id,FinalWeighted_JEI
DWAYNE,BACON,DUB,141.15
TYSON,CARTER,RED,36.5
ALEXANDROS,SAMONTOUROV,PAN,32.79
TAI,ODIASE,HTA,8.26
ISIAHA,MIKE,MUN,67.13
DUSTIN,SLEVA,ZAL,26.11
MARKUS,HOWARD,BAS,125.07
DAULTON,HOMMES,PRS,96.47
NATHAN,SESTINA,PAM,63.56
TYRIQUE,JONES,PAR,140.8
SEMI,OJELEYE,RED,118.35
IGNAS,BRAZDEIKIS,ZAL,94.64
CARSEN,EDWARDS,VIR,138.18
YAGO,DOS SANTOS,RED,115.03
TIMOTHE,LUWAWU-CABARROT,BAS,115.35
CHIMA,MONEKE,RED,164.53
ADAM,ATAMNA,ASV,7.22
MOUHAMED,FAYE,PRS,14.71
TERRY,TARPEY,MCO,65.5
MATTHEW,MORGAN,VIR,101.08
QUINN,ELLIS,MIL,11.7
KAMAR,BALDWIN,MUN,99.07
MCKINLEY,WRIGHT IV,DUB,24.79
TJ,SHORTS,PAN,230.15
COLLIN,MALCOLM,HTA,91.95
TYSON,WARD,OLY,127.97
SEBASTIAN,HERRERA,PRS,56.05
MIKAEL,JANTUNEN,ULK,116.56
BODIAN,MASSA,ASV,16.58
NADIR,HIFI,PRS,124.19
SALIOU,NIANG,VIR,23.29
ERCAN,OSMANI,IST,97.93
JUANCHO,HERNANGOMEZ,PAN,161.66
STERLING,BROWN,PAR,130.96
MBAYE,NDIAYE,ASV,93.92
NATHAN,REUVERS,PAM,68.92
PJ,DOZIER,IST,124.4
JABARI,PARKER,PAR,136.1
KENDRICK,NUNN,PAN,227.95
DAN,OTURU,HTA,124.65
JUSTIN,ANDERSON,DUB,94.15
MFIONDU,KABENGELE,DUB,25.12
MOSES,WRIGHT,ZAL,104.64
MYLES,CALE,BAR,6
ISH,WAINRIGHT,HTA,24.99
MARCIO,SANTOS,TEL,20.01
JUSTINIAN,JESSUP,MUN,14.29
JORDAN,NWORA,RED,100.47
TRENT,FORREST,BAS,144.24
CARLIK,JONES,PAR,172.94
DUANE,WASHINGTON,PAR,69.66
SHAQUILLE,HARRISON,ASV,81.28
LEOPOLD,CAVALIERE,PRS,56.9
MOUHAMET,DIOUF,VIR,87.14
XAVIER,RATHAN-MAYES,MUN,74.45
EVAN,FOURNIER,OLY,149.58
WILLIAM,RAYMAN,TEL,54.65
WENYEN,GABRIEL,MUN,94.33
ARMONI,BROOKS,MIL,88.7
DAVID,MCCORMACK,MUN,83.63
SABEN,LEE,OLY,88.97
ANTONIO,BLAKENEY,HTA,27.31
LONNIE,WALKER IV,TEL,106.62
BRUNO,FERNANDO,MAD,50.64
JIMMY,CLARK III,TEL,74.17
BRANDON,TAYLOR,VIR,9.63
DERRICK,ALSTON JR.,VIR,13.68
CHUMA,OKEKE,MAD,22.81
SHAKE,MILTON,PAR,20.07
JUSTIN,ROBINSON,PRS,18.69
ALLAN,DOKOSSI,PRS,27.02
RICHAUN,HOLMES,PAN,12.69
TJ,LEAF,TEL,21.07
GLYNN,WATSON,ASV,21.62
BASTIEN,VAUTIER,ASV,21.02
ARMANDO,BACOT JR.,ULK,8.8
BRANDON,BOSTON JR.,ULK,7.81
COLE,SWIDER,IST,3.16
CLEMENT,FRISCH,BAS,9.71
MAMADI,DIAKITE,BAS,12.47
EBUKA,IZUNDU,RED,22.77
KOSTA,KONDIC,DUB,4.69
HAMIDOU,DIALLO,BAS,27.92
ZACHARY,SELJAAS,ASV,24.56
STEFAN,MILJENOVIC,RED,1.79
KAI,JONES,IST,10.98
ALIOU,DIARRA,VIR,7.71
OMARI,MOORE,PAM,41.15
TREY,LYLES,MAD,25.38
MARKQUIS,NOWELL,BAS,16.69
OMIROS,NETZIPOGLOU,OLY,1.75
JEFFREY,DOWTIN JR,TEL,28.8
TALEN,HORTON TUCKER,ULK,29.87
O'SHAE J,BRISSETT,TEL,23.16
IKE,IROEGBU,PAM,6.65
MILES,NORRIS,BAR,7.36
DONATAS,MOTIEJUNAS,RED,111.61
SERGIO,LLULL,MAD,110.26
